mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
std,1788868363.1197116,13.967328632000001,0.8416988923097918,0.903,0.0,0.3,1.0,6.077398912087254,13,0.6212622190936846,2.69,2,"[610.5999755859375, 435.20001220703125]"
std,1788868363.1696825,14.017299617,0.9354150900293162,0.903,0.0,0.3,1.0,0.1082616578867146,14,0.6519418348513975,2.69,2,"[607.2000122070312, 421.6000061035156]"
std,1788868363.2198076,14.067424721,1.026135938539397,0.903,0.0,0.3,1.0,0.42295092249273125,14,0.7025632008516236,2.69,2,"[607.2000122070312, 421.6000061035156]"
std,1788868363.2698202,14.117437420000002,1.1046548316572538,0.903,0.0,0.3,1.0,0.7371530140427609,14,0.7715923363064775,2.69,2,"[583.5999755859375, 484.0]"
std,1788868363.3199255,14.167542650000001,1.163482394428966,0.903,0.0,0.3,1.0,1.051713718394197,14,0.8528933180644165,2.69,2,"[583.5999755859375, 484.0]"
std,1788868363.3699558,14.217572864000001,1.1967427395000447,0.903,0.0,0.3,1.0,1.3661969762035397,14,0.940330222973898,34.97,2,"[521.4000244140625, 581.7999877929688]"
std,1788868363.4197881,14.267405219,1.2012297353555148,0.903,0.0,0.3,1.0,1.6794857439373203,14,1.0415729549743504,34.97,2,"[521.4000244140625, 581.7999877929688]"
std,1788868363.4696524,14.317269405000001,1.176664391528782,0.903,0.0,0.3,1.0,1.9929353612149612,14,1.1060001480655473,67.25,2,"[464.79998779296875, 634.0]"
std,1788868363.5198555,14.367472554,1.1250697791173456,0.903,0.0,0.3,1.0,2.308176415154648,14,1.1535535524900022,78.01,2,"[464.79998779296875, 634.0]"
std,1788868363.5699012,14.417518183,1.0518213524073772,0.903,0.0,0.3,1.0,2.6225245844798906,14,1.167359379580973,64.56,2,"[426.3999938964844, 669.0]"
std,1788868363.6198225,14.467439528000002,0.9641624777157826,0.903,0.0,0.3,1.0,2.936278295360026,14,1.162757437217316,-2.69,2,"[426.3999938964844, 669.0]"
std,1788868363.6699421,14.517559197,0.8702054806295939,0.903,0.0,0.3,1.0,3.2511266125189024,14,1.1397477253990314,-2.69,2,"[422.20001220703125, 663.5999755859375]"
std,1788868363.7198591,14.567476177000001,0.7798009036420371,0.903,0.0,0.3,1.0,3.5647744580098077,14,1.0937283017624622,-21.52,2,"[422.20001220703125, 663.5999755859375]"
std,1788868363.7698517,14.617468879,0.7012925936195554,0.903,0.0,0.3,1.0,3.8789823929221825,14,1.026233147095494,-34.97,2,"[428.6000061035156, 648.4000244140625]"
std,1788868363.819773,14.667390302000001,0.6425633047611166,0.903,0.0,0.3,1.0,4.192999388116249,14,0.9249904150950417,-34.97,2,"[428.6000061035156, 648.4000244140625]"
std,1788868363.8697019,14.717318871000002,0.6093218175485524,0.903,0.0,0.3,1.0,4.506733181298969,14,0.8436894333371027,-102.22,2,"[500.3999938964844, 597.0]"
std,1788868363.919774,14.767391214000002,0.6047675756352038,0.903,0.0,0.3,1.0,4.82099573594121,14,0.760854470791278,-32.28,2,"[500.3999938964844, 597.0]"
std,1788868363.9698222,14.817439202000001,0.6294535369644935,0.903,0.0,0.3,1.0,5.135486433041962,14,0.6918253353364242,-88.77,2,"[578.2000122070312, 497.20001220703125]"
std,1788868364.0198934,14.867510602000001,0.6810105226570564,0.903,0.0,0.3,1.0,5.450167095967288,14,0.6473398924877406,-118.36,2,"[578.2000122070312, 497.20001220703125]"
std,1788868364.0698948,14.917512036000002,0.7541876755688857,0.903,0.0,0.3,1.0,5.7641518961198415,14,0.6212622190936846,-72.63,2,"[602.7999877929688, 439.79998779296875]"
std,1788868364.119858,14.967475156,0.8419071256615077,0.903,0.0,0.3,1.0,6.078107931850056,14,0.619728238305799,2.69,2,"[602.7999877929688, 439.79998779296875]"
std,1788868364.1699407,15.017557858000002,0.9357961962949953,0.903,0.0,0.3,1.0,0.1095395823799592,15,0.6458059116998549,2.69,2,"[607.2000122070312, 419.20001220703125]"
std,1788868364.2196746,15.067291504000002,1.0259927271793368,0.903,0.0,0.3,1.0,0.42242748289114473,15,0.7117670855789375,2.69,2,"[607.2000122070312, 419.20001220703125]"
std,1788868364.2697556,15.117372636,1.104605539919386,0.903,0.0,0.3,1.0,0.7369311170704336,15,0.782330201821677,2.69,2,"[579.5999755859375, 482.3999938964844]"
std,1788868364.3196847,15.167301907,1.1633332732178743,0.903,0.0,0.3,1.0,1.050712605912814,15,0.8666991451553873,5.38,2,"[579.5999755859375, 482.3999938964844]"
std,1788868364.3697062,15.217323167000002,1.1966701719577626,0.903,0.0,0.3,1.0,1.3650098123220218,15,0.9495341077012119,34.97,2,"[528.5999755859375, 582.4000244140625]"
std,1788868364.4199483,15.267565456000002,1.201197605405461,0.903,0.0,0.3,1.0,1.6804686351812634,15,1.026233147095494,83.39,2,"[528.5999755859375, 582.4000244140625]"
std,1788868364.469841,15.317458153,1.1765431752504003,0.903,0.0,0.3,1.0,1.9939204704233262,15,1.0952622825503477,75.32,2,"[468.0, 636.2000122070312]"
std,1788868364.5199003,15.367517512000001,1.1250261073163323,0.903,0.0,0.3,1.0,2.3083929023043837,15,1.1474176293384597,64.56,2,"[468.0, 636.2000122070312]"
std,1788868364.5698922,15.417509434000001,1.051823342597101,0.903,0.0,0.3,1.0,2.622516944126538,15,1.167359379580973,78.01,2,"[422.6000061035156, 676.4000244140625]"
std,1788868364.6199462,15.467563498,0.9640412264407585,0.903,0.0,0.3,1.0,2.9366911194842444,15,1.1596894756415448,78.01,2,"[422.6000061035156, 676.4000244140625]"
std,1788868364.6698418,15.517459027000001,0.8704137777001923,0.903,0.0,0.3,1.0,3.2504281296578412,15,1.1351457830353744,-2.69,2,"[419.3999938964844, 667.0]"
std,1788868364.7197387,15.567355818000001,0.7799361734865731,0.903,0.0,0.3,1.0,3.5642799901756703,15,1.0845244170351482,-2.69,2,"[419.3999938964844, 667.0]"
std,1788868364.769852,15.617469156,0.701298106485708,0.903,0.0,0.3,1.0,3.878957568057011,15,1.01702926236818,-29.59,2,"[431.6000061035156, 640.4000244140625]"
std,1788868364.8198686,15.667485650000001,0.6425567801485076,0.903,0.0,0.3,1.0,4.193043207050557,15,0.9387962421860124,-26.9,2,"[431.6000061035156, 640.4000244140625]"
std,1788868364.8698716,15.717488772000001,0.6092830395308946,0.903,0.0,0.3,1.0,4.50736712328051,15,0.8559612796401878,-88.77,2,"[502.3999938964844, 595.2000122070312]"
std,1788868364.9198334,15.767450625,0.6047773795992903,0.903,0.0,0.3,1.0,4.82129681361473,15,0.7731263170943632,-43.04,2,"[502.3999938964844, 595.2000122070312]"
std,1788868364.969849,15.817466429000001,0.6294675779724989,0.903,0.0,0.3,1.0,5.135600410023393,15,0.6979612584879668,-78.01,2,"[570.5999755859375, 489.79998779296875]"
std,1788868365.0197217,15.867338987,0.6808074037580324,0.903,0.0,0.3,1.0,5.449159970477545,15,0.641203969336198,-78.01,2,"[570.5999755859375, 489.79998779296875]"
std,1788868365.0696723,15.917289417000001,0.7538831505582544,0.903,0.0,0.3,1.0,5.762982457104066,15,0.6212622190936846,-78.01,2,"[606.2000122070312, 431.0]"
std,1788868365.1197236,15.967340828000001,0.8417260315400639,0.903,0.0,0.3,1.0,6.077491325176716,15,0.6212622190936846,2.69,2,"[606.2000122070312, 431.0]"
std,1788868365.1698472,16.017464347,0.9356323511872845,0.903,0.0,0.3,1.0,0.10899015552392655,16,0.6519418348513975,2.69,2,"[603.4000244140625, 425.0]"
std,1788868365.2198899,16.067506825000002,1.026239465039582,0.903,0.0,0.3,1.0,0.4233293901596653,16,0.7025632008516236,2.69,2,"[603.4000244140625, 425.0]"
std,1788868365.269881,16.117498083,1.1047343256879494,0.903,0.0,0.3,1.0,0.7375109671096709,16,0.7700583555185919,2.69,2,"[587.2000122070312, 476.0]"
std,1788868365.3198364,16.167453297,1.1634475306489476,0.903,0.0,0.3,1.0,1.051479506378655,16,0.8528933180644165,5.38,2,"[587.2000122070312, 476.0]"
