Device: cuda | threads: 4
Tuning della SOLA FM (IM fissa). Metrica: val loss di FM.
=== FASE 3 | 13 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 55 trial.
Dataset grezzo: 55 trial letti. Scaler e finestre costruiti in split_by_trial() (fit solo su train).
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/Estimator/tuning/../../../../src/net/scaler/scalers_joint.pkl (nessun refit).
Dataset: 41225 campioni da 55 trial. H=20 P=1 | seq_cmd=(20, 1) seq_sens=(20, 2)
ctx_dim: 4
Best arch: gru=512, mlp=256
Best training: lr=4.91e-04, batch=32, wd=1.58e-05, dropout=0.09 (val 0.0542)

[I 2026-09-14 15:48:52,361] Using an existing study with name 'fish_fm_phase3' instead of creating a new one.
  Trial 18 | Epoch 11 | val_FM 0.0644
  Trial 18 | Epoch 12 | val_FM 0.0594
  Trial 18 | Epoch 13 | val_FM 0.0597
  Trial 18 | Epoch 14 | val_FM 0.0603
  Trial 18 | Epoch 15 | val_FM 0.0581
  Trial 18 | Epoch 16 | val_FM 0.0662
  Trial 18 | Epoch 17 | val_FM 0.0583
  Trial 18 | Epoch 18 | val_FM 0.0572
  Trial 18 | Epoch 19 | val_FM 0.0555
  Trial 18 | Epoch 20 | val_FM 0.0568
  Trial 18 | Epoch 21 | val_FM 0.0573
  Trial 18 | Epoch 22 | val_FM 0.0583
  Trial 18 | Epoch 23 | val_FM 0.0580
  Trial 18 | Epoch 24 | val_FM 0.0562
  Trial 18 | Epoch 25 | val_FM 0.0569
[I 2026-09-14 16:06:53,354] Trial 18 pruned. 
  Trial 22 | Epoch  0 | val_FM 0.1059
  Trial 22 | Epoch  1 | val_FM 0.0960
  Trial 22 | Epoch  2 | val_FM 0.0820
  Trial 22 | Epoch  3 | val_FM 0.0807
  Trial 22 | Epoch  4 | val_FM 0.0815
  Trial 22 | Epoch  5 | val_FM 0.0771
  Trial 22 | Epoch  6 | val_FM 0.0708
  Trial 22 | Epoch  7 | val_FM 0.0652
  Trial 22 | Epoch  8 | val_FM 0.0618
  Trial 22 | Epoch  9 | val_FM 0.0616
  Trial 22 | Epoch 10 | val_FM 0.0609
  Trial 22 | Epoch 11 | val_FM 0.0604
  Trial 22 | Epoch 12 | val_FM 0.0635
  Trial 22 | Epoch 13 | val_FM 0.0651
  Trial 22 | Epoch 14 | val_FM 0.0634
  Trial 22 | Epoch 15 | val_FM 0.0609
  Trial 22 | Epoch 16 | val_FM 0.0613
  Trial 22 | Epoch 17 | val_FM 0.0596
  Trial 22 | Epoch 18 | val_FM 0.0664
  Trial 22 | Epoch 19 | val_FM 0.0590
  Trial 22 | Epoch 20 | val_FM 0.0598
  Trial 22 | Epoch 21 | val_FM 0.0608
[I 2026-09-14 16:11:46,588] Trial 22 pruned. 
  Trial 28 | Epoch  0 | val_FM 0.1215
  Trial 28 | Epoch  1 | val_FM 0.0931
  Trial 28 | Epoch  2 | val_FM 0.0984
  Trial 28 | Epoch  3 | val_FM 0.0952
  Trial 28 | Epoch  4 | val_FM 0.0854
  Trial 28 | Epoch  5 | val_FM 0.0844
  Trial 28 | Epoch  6 | val_FM 0.0844
  Trial 28 | Epoch  7 | val_FM 0.0853
  Trial 28 | Epoch  8 | val_FM 0.0743
  Trial 28 | Epoch  9 | val_FM 0.0662
  Trial 28 | Epoch 10 | val_FM 0.0705
  Trial 28 | Epoch 11 | val_FM 0.0667
  Trial 28 | Epoch 12 | val_FM 0.0611
  Trial 28 | Epoch 13 | val_FM 0.0590
  Trial 28 | Epoch 14 | val_FM 0.0695
  Trial 28 | Epoch 15 | val_FM 0.0597
  Trial 28 | Epoch 16 | val_FM 0.0554
  Trial 28 | Epoch 17 | val_FM 0.0591
  Trial 28 | Epoch 18 | val_FM 0.0560
  Trial 28 | Epoch 19 | val_FM 0.0579
  Trial 28 | Epoch 20 | val_FM 0.0557
  Trial 28 | Epoch 21 | val_FM 0.0545
  Trial 28 | Epoch 22 | val_FM 0.0553
  Trial 28 | Epoch 23 | val_FM 0.0539
  Trial 28 | Epoch 24 | val_FM 0.0597
  Trial 28 | Epoch 25 | val_FM 0.0575
  Trial 28 | Epoch 26 | val_FM 0.0551
  Trial 28 | Epoch 27 | val_FM 0.0523
  Trial 28 | Epoch 28 | val_FM 0.0555
  Trial 28 | Epoch 29 | val_FM 0.0556
[I 2026-09-14 16:15:17,889] Trial 28 finished with value: 0.05225051162776604 and parameters: {'gru_hidden': 512, 'mlp_hidden': 256, 'lr': 0.0004718915820661413, 'batch_size': 64, 'weight_decay': 1.3019814823795364e-05, 'dropout': 0.14693297552900345}. Best is trial 3 with value: 0.0518780355066916.
  Trial 33 | Epoch  0 | val_FM 0.1324
  Trial 33 | Epoch  1 | val_FM 0.0958
  Trial 33 | Epoch  2 | val_FM 0.0821
  Trial 33 | Epoch  3 | val_FM 0.0864
  Trial 33 | Epoch  4 | val_FM 0.0739
  Trial 33 | Epoch  5 | val_FM 0.0759
  Trial 33 | Epoch  6 | val_FM 0.0696
  Trial 33 | Epoch  7 | val_FM 0.0681
  Trial 33 | Epoch  8 | val_FM 0.0654
  Trial 33 | Epoch  9 | val_FM 0.0603
  Trial 33 | Epoch 10 | val_FM 0.0581
  Trial 33 | Epoch 11 | val_FM 0.0576
  Trial 33 | Epoch 12 | val_FM 0.0559
  Trial 33 | Epoch 13 | val_FM 0.0584
  Trial 33 | Epoch 14 | val_FM 0.0554
  Trial 33 | Epoch 15 | val_FM 0.0571
  Trial 33 | Epoch 16 | val_FM 0.0580
  Trial 33 | Epoch 17 | val_FM 0.0530
  Trial 33 | Epoch 18 | val_FM 0.0557
  Trial 33 | Epoch 19 | val_FM 0.0613
  Trial 33 | Epoch 20 | val_FM 0.0531
  Trial 33 | Epoch 21 | val_FM 0.0554
  Trial 33 | Epoch 22 | val_FM 0.0549
  Trial 33 | Epoch 23 | val_FM 0.0564
  Trial 33 | Epoch 24 | val_FM 0.0546
  Trial 33 | Epoch 25 | val_FM 0.0531
  Trial 33 | Epoch 26 | val_FM 0.0558
  Trial 33 | Epoch 27 | val_FM 0.0547
  Trial 33 | Epoch 28 | val_FM 0.0528
  Trial 33 | Epoch 29 | val_FM 0.0521
[I 2026-09-14 16:20:37,495] Trial 33 finished with value: 0.052115566378123444 and parameters: {'gru_hidden': 512, 'mlp_hidden': 256, 'lr': 0.00045404124217349076, 'batch_size': 32, 'weight_decay': 1.008275952896012e-05, 'dropout': 0.10753541510396303}. Best is trial 3 with value: 0.0518780355066916.
  Trial 39 | Epoch  0 | val_FM 0.1049
  Trial 39 | Epoch  1 | val_FM 0.0983
  Trial 39 | Epoch  2 | val_FM 0.0852
  Trial 39 | Epoch  3 | val_FM 0.0771
  Trial 39 | Epoch  4 | val_FM 0.0727
  Trial 39 | Epoch  5 | val_FM 0.0698
  Trial 39 | Epoch  6 | val_FM 0.0735
  Trial 39 | Epoch  7 | val_FM 0.0642
  Trial 39 | Epoch  8 | val_FM 0.0687
  Trial 39 | Epoch  9 | val_FM 0.0667
  Trial 39 | Epoch 10 | val_FM 0.0674
  Trial 39 | Epoch 11 | val_FM 0.0606
  Trial 39 | Epoch 12 | val_FM 0.0644
  Trial 39 | Epoch 13 | val_FM 0.0628
  Trial 39 | Epoch 14 | val_FM 0.0546
  Trial 39 | Epoch 15 | val_FM 0.0670
  Trial 39 | Epoch 16 | val_FM 0.0580
  Trial 39 | Epoch 17 | val_FM 0.0577
  Trial 39 | Epoch 18 | val_FM 0.0589
  Trial 39 | Epoch 19 | val_FM 0.0535
  Trial 39 | Epoch 20 | val_FM 0.0638
  Trial 39 | Epoch 21 | val_FM 0.0542
  Trial 39 | Epoch 22 | val_FM 0.0549
  Trial 39 | Epoch 23 | val_FM 0.0554
  Trial 39 | Epoch 24 | val_FM 0.0576
  Trial 39 | Epoch 25 | val_FM 0.0552
  Trial 39 | Epoch 26 | val_FM 0.0571
  Trial 39 | Epoch 27 | val_FM 0.0594
  Trial 39 | Epoch 28 | val_FM 0.0565
  Trial 39 | Epoch 29 | val_FM 0.0567
[I 2026-09-14 16:25:31,932] Trial 39 finished with value: 0.05354299958886915 and parameters: {'gru_hidden': 512, 'mlp_hidden': 256, 'lr': 0.000582595323448837, 'batch_size': 32, 'weight_decay': 1.0628740527555511e-05, 'dropout': 0.16184318721071994}. Best is trial 3 with value: 0.0518780355066916.
  Trial 43 | Epoch  0 | val_FM 0.1322
  Trial 43 | Epoch  1 | val_FM 0.1136
  Trial 43 | Epoch  2 | val_FM 0.0918
  Trial 43 | Epoch  3 | val_FM 0.0805
  Trial 43 | Epoch  4 | val_FM 0.0901
  Trial 43 | Epoch  5 | val_FM 0.0718
  Trial 43 | Epoch  6 | val_FM 0.0686
  Trial 43 | Epoch  7 | val_FM 0.0652
  Trial 43 | Epoch  8 | val_FM 0.0681
  Trial 43 | Epoch  9 | val_FM 0.0614
  Trial 43 | Epoch 10 | val_FM 0.0639
  Trial 43 | Epoch 11 | val_FM 0.0645
  Trial 43 | Epoch 12 | val_FM 0.0600
  Trial 43 | Epoch 13 | val_FM 0.0594
  Trial 43 | Epoch 14 | val_FM 0.0611
  Trial 43 | Epoch 15 | val_FM 0.0607
  Trial 43 | Epoch 16 | val_FM 0.0607
[I 2026-09-14 16:29:12,860] Trial 43 pruned. 
  Trial 47 | Epoch  0 | val_FM 0.1203
  Trial 47 | Epoch  1 | val_FM 0.0920
  Trial 47 | Epoch  2 | val_FM 0.0860
  Trial 47 | Epoch  3 | val_FM 0.0770
  Trial 47 | Epoch  4 | val_FM 0.0728
  Trial 47 | Epoch  5 | val_FM 0.0651
  Trial 47 | Epoch  6 | val_FM 0.0642
  Trial 47 | Epoch  7 | val_FM 0.0638
  Trial 47 | Epoch  8 | val_FM 0.0657
  Trial 47 | Epoch  9 | val_FM 0.0606
  Trial 47 | Epoch 10 | val_FM 0.0592
  Trial 47 | Epoch 11 | val_FM 0.0669
  Trial 47 | Epoch 12 | val_FM 0.0633
  Trial 47 | Epoch 13 | val_FM 0.0586
  Trial 47 | Epoch 14 | val_FM 0.0585
  Trial 47 | Epoch 15 | val_FM 0.0579
  Trial 47 | Epoch 16 | val_FM 0.0587
  Trial 47 | Epoch 17 | val_FM 0.0620
  Trial 47 | Epoch 18 | val_FM 0.0579
  Trial 47 | Epoch 19 | val_FM 0.0564
  Trial 47 | Epoch 20 | val_FM 0.0619
  Trial 47 | Epoch 21 | val_FM 0.0555
  Trial 47 | Epoch 22 | val_FM 0.0534
  Trial 47 | Epoch 23 | val_FM 0.0527
  Trial 47 | Epoch 24 | val_FM 0.0556
  Trial 47 | Epoch 25 | val_FM 0.0574
  Trial 47 | Epoch 26 | val_FM 0.0556
  Trial 47 | Epoch 27 | val_FM 0.0562
  Trial 47 | Epoch 28 | val_FM 0.0559
  Trial 47 | Epoch 29 | val_FM 0.0537
[I 2026-09-14 16:35:44,945] Trial 47 finished with value: 0.052743817129951034 and parameters: {'gru_hidden': 512, 'mlp_hidden': 256, 'lr': 0.0006857260043793543, 'batch_size': 32, 'weight_decay': 1.6448412978286516e-05, 'dropout': 0.10967119982404744}. Best is trial 3 with value: 0.0518780355066916.
  Trial 50 | Epoch  0 | val_FM 0.1201
  Trial 50 | Epoch  1 | val_FM 0.1024
  Trial 50 | Epoch  2 | val_FM 0.1117
  Trial 50 | Epoch  3 | val_FM 0.0869
  Trial 50 | Epoch  4 | val_FM 0.0907
  Trial 50 | Epoch  5 | val_FM 0.0802
  Trial 50 | Epoch  6 | val_FM 0.0793
  Trial 50 | Epoch  7 | val_FM 0.0767
  Trial 50 | Epoch  8 | val_FM 0.0791
[I 2026-09-14 16:36:17,601] Trial 50 pruned. 

=== Migliori iperparametri FM - Fase 3 ===
  gru_hidden: 256
  mlp_hidden: 128
  lr: 0.0003585794155087849
  batch_size: 32
  weight_decay: 2.5314946929205504e-05
  dropout: 0.10842905375567242
  best val_FM: 0.0519

Risultati salvati in /home/gemma/tesi/aquabot/src/net/Estimator/tuning/tuning_results/best_fm_phase3.txt
