mode,t_ros_sec,t_rel_sec,tail_target_rad,tail_bias_rad,tail_bias_offset_rad,tail_bias_rand_rad,tail_amp_rad,tail_freq_hz,phase_rad,cycle_idx,present_position_rad,present_current_ma,sensor_len,sensor_values
random_walk,1788871830.23602,23.600069387,0.5356831247385566,0.903,0.0,-0.07704771115066776,0.4036409457345519,1.0763064549419623,3.9441380400335433,19,0.9924855697620099,-78.01,2,"[452.3999938964844, 641.7999877929688]"
random_walk,1788871830.2857754,23.649824814000002,0.45845992085050624,0.903,0.0,-0.07704771115066776,0.4039130639910835,1.0870272332129918,4.284467739151502,19,0.8881748761857863,-147.95,2,"[519.4000244140625, 585.2000122070312]"
random_walk,1788871830.3359764,23.700025743,0.4231854277868784,0.903,0.0,-0.07704771115066776,0.4041443645091354,1.096139894743367,4.629801063098945,19,0.7593204900033924,-2.69,2,"[519.4000244140625, 585.2000122070312]"
random_walk,1788871830.3857667,23.749816141,0.4355380590738431,0.903,0.0,-0.07704771115066776,0.4043409699494795,1.1038856570441857,4.975609864158251,19,0.6381360077604268,-10.76,2,"[568.4000244140625, 504.79998779296875]"
random_walk,1788871830.4357805,23.79982971,0.49491987862989895,0.903,0.0,-0.07704771115066776,0.40450808457377196,1.1104695549998818,5.324637299684305,19,0.5184855063053467,-10.76,2,"[568.4000244140625, 504.79998779296875]"
random_walk,1788871830.4857438,23.849792965000002,0.5947505128266222,0.903,0.0,-0.07704771115066776,0.40465013200442057,1.1160658682622233,5.675020643512546,19,0.47093210188089185,-94.14999999999999,2,"[633.2000122070312, 409.79998779296875]"
random_walk,1788871830.535909,23.899958383,0.7237641780431978,0.903,0.0,-0.07704771115066776,0.40477087232047193,1.1208227345352135,6.027964415679655,19,0.4479223900626072,0.0,2,"[633.2000122070312, 409.79998779296875]"
random_walk,1788871830.585795,23.949844156,0.8597510800749459,0.903,0.0,-0.07704771115066776,0.416789020332896,1.0726729822777727,0.08118242992507874,20,0.4678641403051206,2.69,2,"[639.7999877929688, 371.20001220703125]"
random_walk,1788871830.6360419,24.000091272000002,0.9948326036009081,0.903,0.0,-0.07704771115066776,0.42700444614345645,1.0317456928589481,0.4066123168295235,20,0.5292233718205462,26.9,2,"[639.7999877929688, 371.20001220703125]"
random_walk,1788871830.685939,24.049988277,1.112989639892828,0.903,0.0,-0.07704771115066776,0.43568755808243287,0.9969574968529471,0.7192420631675134,20,0.619728238305799,37.66,2,"[611.0, 436.6000061035156]"
random_walk,1788871830.7359812,24.100030572,1.2042651334557928,0.903,0.0,-0.07704771115066776,0.4430682032305628,0.9673875302478463,1.0233334079516965,20,0.7317088358214509,96.84,2,"[611.0, 436.6000061035156]"
random_walk,1788871830.7858121,24.149861458,1.2610712666506614,0.903,0.0,-0.07704771115066776,0.4493417516064732,0.9422530586335105,1.3185231887391495,20,0.8605632220038447,2.69,2,"[546.5999755859375, 579.0]"
random_walk,1788871830.8359497,24.199999060000003,1.2803033277000397,0.903,0.0,-0.07704771115066776,0.4546742677259971,0.9208887577613252,1.6085053790258002,20,1.0277671278833795,2.69,2,"[546.5999755859375, 579.0]"
random_walk,1788871830.8857598,24.249809261000003,1.2617778155630028,0.903,0.0,-0.07704771115066776,0.45920690642759243,0.9027291020199677,1.891280103462293,20,1.1320778214596032,45.73,2,"[492.20001220703125, 646.2000122070312]"
random_walk,1788871830.935932,24.299981246,1.2081445933750228,0.903,0.0,-0.07704771115066776,0.46305964932394844,0.8872933946398138,2.170747813032989,20,1.1965050145508,161.4,2,"[492.20001220703125, 646.2000122070312]"
random_walk,1788871830.9860141,24.350063284,1.12488330261424,0.903,0.0,-0.07704771115066776,0.46633448078585105,0.874173043366683,2.445762586033851,20,1.2409904573994837,45.73,2,"[447.20001220703125, 674.2000122070312]"
random_walk,1788871831.0359163,24.399965597,1.0194053256543338,0.903,0.0,-0.07704771115066776,0.46911808752846823,0.8630207447845217,2.7165320510984543,20,1.2517283229146832,-2.69,2,"[447.20001220703125, 674.2000122070312]"
