Device: cuda | threads: 4
lambda_future: fisso a 0.5 in fase 1, cercato in [1e-3, 3.0] (log) nelle fasi 2/3
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Dataset grezzo: 34 trial letti. Scaler e finestre verranno costruiti in split_by_trial() (fit solo sul training set).
Feature in input per timestep: 1

--- Fase 2, architettura #1: gru=256, mlp=256 ---

[I 2026-09-07 11:06:39,219] Using an existing study with name 'fish_forward_phase2_arch1' instead of creating a new one.
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27324 campioni da 34 trial. seq feature/timestep = 1
  Trial 23 | Epoch  1 | val 0.0588
  Trial 23 | Epoch  2 | val 0.0543
  Trial 23 | Epoch  3 | val 0.0529
  Trial 23 | Epoch  4 | val 0.0507
  Trial 23 | Epoch  5 | val 0.0487
[I 2026-09-07 11:18:59,164] Trial 23 pruned. 
  Trial 26 | Epoch  0 | val 0.0584
  Trial 26 | Epoch  1 | val 0.0489
  Trial 26 | Epoch  2 | val 0.0449
  Trial 26 | Epoch  3 | val 0.0504
  Trial 26 | Epoch  4 | val 0.0470
  Trial 26 | Epoch  5 | val 0.0471
  Trial 26 | Epoch  6 | val 0.0440
  Trial 26 | Epoch  7 | val 0.0417
  Trial 26 | Epoch  8 | val 0.0470
  Trial 26 | Epoch  9 | val 0.0454
  Trial 26 | Epoch 10 | val 0.0472
  Trial 26 | Epoch 11 | val 0.0416
  Trial 26 | Epoch 12 | val 0.0428
  Trial 26 | Epoch 13 | val 0.0457
  Trial 26 | Epoch 14 | val 0.0426
  Trial 26 | Epoch 15 | val 0.0401
  Trial 26 | Epoch 16 | val 0.0425
  Trial 26 | Epoch 17 | val 0.0435
  Trial 26 | Epoch 18 | val 0.0397
  Trial 26 | Epoch 19 | val 0.0443
  Trial 26 | Epoch 20 | val 0.0406
  Trial 26 | Epoch 21 | val 0.0429
  Trial 26 | Epoch 22 | val 0.0405
  Trial 26 | Epoch 23 | val 0.0436
  Trial 26 | Epoch 24 | val 0.0445
  Trial 26 | Epoch 25 | val 0.0425
  Trial 26 | Epoch 26 | val 0.0431
  Trial 26 | Epoch 27 | val 0.0404
  Trial 26 | Epoch 28 | val 0.0415
  Trial 26 | Epoch 29 | val 0.0424
[I 2026-09-07 11:19:35,761] Trial 26 finished with value: 0.03965134382136722 and parameters: {'lr': 0.0038121547256649018, 'batch_size': 64, 'lambda_future': 0.0018046701445829107}. Best is trial 8 with value: 0.03819516787666883.

=== Migliori iperparametri - Fase 2 ===
  lr: 0.001972991672266887
  batch_size: 64
  lambda_future: 0.001524054206939366
  best val loss: 0.0382

Risultati salvati in /home/gemma/tesi/aquabot/src/net/SensorEstimator/tuning_results/best_params_phase2.txt
