Device: cuda | threads: 4
lambda_future FISSO a 0.0 (solo testa history)
=== FASE 2 | 8 trial (questo worker) | 30 epoche ===

Caricamento dataset...
Trovati 34 trial.
  [trial_20260519_151133.csv] attenzione: calibrazione a riposo su 37 campioni (< 50)
Normalizzatore caricato da /home/gemma/tesi/aquabot/src/net/SensorEstimator/../../../src/net/scaler/scalers.pkl (nessun refit).
Dataset: 27290 campioni da 34 trial. seq feature/timestep = 3
Feature in input per timestep: 3

--- Fase 2, architettura #1: gru=512, mlp=64 ---

[I 2026-07-28 10:56:11,824] Using an existing study with name 'fish_forward_phase2_arch1' instead of creating a new one.
  Trial 31 | Epoch  1 | val 0.2193
  Trial 31 | Epoch  2 | val 0.2115
  Trial 31 | Epoch  3 | val 0.2087
  Trial 31 | Epoch  4 | val 0.2054
  Trial 31 | Epoch  5 | val 0.2052
[I 2026-07-28 11:06:53,342] Trial 31 pruned. 

--- Fase 2, architettura #2: gru=512, mlp=32 ---

[I 2026-07-28 11:06:53,343] Using an existing study with name 'fish_forward_phase2_arch2' instead of creating a new one.
  Trial 7 | Epoch  0 | val 0.3049
  Trial 7 | Epoch  1 | val 0.2652
  Trial 7 | Epoch  2 | val 0.2482
  Trial 7 | Epoch  3 | val 0.2374
  Trial 7 | Epoch  4 | val 0.2306
  Trial 7 | Epoch  5 | val 0.2250
[I 2026-07-28 11:07:21,373] Trial 7 pruned. 
  Trial 9 | Epoch  0 | val 0.2607
  Trial 9 | Epoch  1 | val 0.2332
  Trial 9 | Epoch  2 | val 0.2237
  Trial 9 | Epoch  3 | val 0.2154
  Trial 9 | Epoch  4 | val 0.2114
  Trial 9 | Epoch  5 | val 0.2119
  Trial 9 | Epoch  6 | val 0.2077
  Trial 9 | Epoch  7 | val 0.2066
  Trial 9 | Epoch  8 | val 0.2054
  Trial 9 | Epoch  9 | val 0.2041
  Trial 9 | Epoch 10 | val 0.2032
  Trial 9 | Epoch 11 | val 0.2026
  Trial 9 | Epoch 12 | val 0.2028
  Trial 9 | Epoch 13 | val 0.2018
[I 2026-07-28 11:08:25,051] Trial 9 pruned. 
  Trial 12 | Epoch  0 | val 0.3446
  Trial 12 | Epoch  1 | val 0.3049
  Trial 12 | Epoch  2 | val 0.2806
  Trial 12 | Epoch  3 | val 0.2652
  Trial 12 | Epoch  4 | val 0.2552
  Trial 12 | Epoch  5 | val 0.2471
[I 2026-07-28 11:08:39,408] Trial 12 pruned. 
  Trial 13 | Epoch  0 | val 0.2139
  Trial 13 | Epoch  1 | val 0.2100
  Trial 13 | Epoch  2 | val 0.2111
  Trial 13 | Epoch  3 | val 0.2074
  Trial 13 | Epoch  4 | val 0.2049
  Trial 13 | Epoch  5 | val 0.2029
  Trial 13 | Epoch  6 | val 0.2003
  Trial 13 | Epoch  7 | val 0.2018
  Trial 13 | Epoch  8 | val 0.1998
  Trial 13 | Epoch  9 | val 0.1970
  Trial 13 | Epoch 10 | val 0.1976
  Trial 13 | Epoch 11 | val 0.1959
  Trial 13 | Epoch 12 | val 0.1966
  Trial 13 | Epoch 13 | val 0.1943
  Trial 13 | Epoch 14 | val 0.1946
  Trial 13 | Epoch 15 | val 0.1933
  Trial 13 | Epoch 16 | val 0.1921
  Trial 13 | Epoch 17 | val 0.1901
  Trial 13 | Epoch 18 | val 0.1917
  Trial 13 | Epoch 19 | val 0.1872
  Trial 13 | Epoch 20 | val 0.1890
  Trial 13 | Epoch 21 | val 0.1871
  Trial 13 | Epoch 22 | val 0.1903
  Trial 13 | Epoch 23 | val 0.1877
  Trial 13 | Epoch 24 | val 0.1870
  Trial 13 | Epoch 25 | val 0.1853
  Trial 13 | Epoch 26 | val 0.1864
  Trial 13 | Epoch 27 | val 0.1841
  Trial 13 | Epoch 28 | val 0.1864
  Trial 13 | Epoch 29 | val 0.1842
[I 2026-07-28 11:10:53,126] Trial 13 finished with value: 0.1841333867077939 and parameters: {'lr': 0.0035136897026370635, 'batch_size': 32}. Best is trial 10 with value: 0.18260862107513942.
  Trial 17 | Epoch  0 | val 0.2171
  Trial 17 | Epoch  1 | val 0.2092
  Trial 17 | Epoch  2 | val 0.2076
  Trial 17 | Epoch  3 | val 0.2047
  Trial 17 | Epoch  4 | val 0.2056
  Trial 17 | Epoch  5 | val 0.2044
  Trial 17 | Epoch  6 | val 0.2044
  Trial 17 | Epoch  7 | val 0.2003
  Trial 17 | Epoch  8 | val 0.1998
  Trial 17 | Epoch  9 | val 0.1970
  Trial 17 | Epoch 10 | val 0.1971
  Trial 17 | Epoch 11 | val 0.1965
  Trial 17 | Epoch 12 | val 0.1945
  Trial 17 | Epoch 13 | val 0.1938
  Trial 17 | Epoch 14 | val 0.1950
  Trial 17 | Epoch 15 | val 0.1929
  Trial 17 | Epoch 16 | val 0.1917
  Trial 17 | Epoch 17 | val 0.1918
  Trial 17 | Epoch 18 | val 0.1922
  Trial 17 | Epoch 19 | val 0.1909
  Trial 17 | Epoch 20 | val 0.1892
  Trial 17 | Epoch 21 | val 0.1912
  Trial 17 | Epoch 22 | val 0.1933
  Trial 17 | Epoch 23 | val 0.1922
  Trial 17 | Epoch 24 | val 0.1878
  Trial 17 | Epoch 25 | val 0.1868
  Trial 17 | Epoch 26 | val 0.1895
  Trial 17 | Epoch 27 | val 0.1877
  Trial 17 | Epoch 28 | val 0.1875
  Trial 17 | Epoch 29 | val 0.1866
[I 2026-07-28 11:13:06,185] Trial 17 finished with value: 0.18656007962965826 and parameters: {'lr': 0.004954977282620562, 'batch_size': 32}. Best is trial 10 with value: 0.18260862107513942.
  Trial 23 | Epoch  0 | val 0.2195
  Trial 23 | Epoch  1 | val 0.2125
  Trial 23 | Epoch  2 | val 0.2098
  Trial 23 | Epoch  3 | val 0.2065
  Trial 23 | Epoch  4 | val 0.2060
  Trial 23 | Epoch  5 | val 0.2049
[I 2026-07-28 11:13:32,340] Trial 23 pruned. 
  Trial 25 | Epoch  0 | val 0.2275
  Trial 25 | Epoch  1 | val 0.2130
  Trial 25 | Epoch  2 | val 0.2072
  Trial 25 | Epoch  3 | val 0.2072
  Trial 25 | Epoch  4 | val 0.2042
  Trial 25 | Epoch  5 | val 0.2039
  Trial 25 | Epoch  6 | val 0.2027
  Trial 25 | Epoch  7 | val 0.2013
  Trial 25 | Epoch  8 | val 0.1994
  Trial 25 | Epoch  9 | val 0.1998
  Trial 25 | Epoch 10 | val 0.1996
  Trial 25 | Epoch 11 | val 0.1983
[I 2026-07-28 11:14:24,623] Trial 25 pruned. 
  Trial 27 | Epoch  0 | val 0.2423
  Trial 27 | Epoch  1 | val 0.2199
  Trial 27 | Epoch  2 | val 0.2110
  Trial 27 | Epoch  3 | val 0.2084
  Trial 27 | Epoch  4 | val 0.2060
  Trial 27 | Epoch  5 | val 0.2052
[I 2026-07-28 11:14:50,442] Trial 27 pruned. 

=== Migliori iperparametri - Fase 2 ===
  lr: 0.002164542939589684
  batch_size: 32
  best val loss: 0.1824

Risultati salvati in /home/gemma/tesi/aquabot/src/net/SensorEstimator/tuning_results/best_params_phase2.txt
